Symbol,Exchange,Sector,Industry
KIT,OLL,Electronic technology,Electronic production equipment
KLARA-B,ST,Finance,Real estate development
KNIN,SW,Transportation,Marine shipping
KOG,OLL,Producer manufacturing,Trucks/Construction/Farm machinery
KTN,XETRA,Electronic technology,Computer processing hardware
LAGR-B,ST,Electronic technology,Electronic production equipment
LAT,PA,Electronic technology,Aerospace & defense
LATO-B,ST,Finance,Financial conglomerates
LEG,XETRA,Finance,Real estate development
LHA,XETRA,Transportation,Airlines
LI,PA,Finance,Real estate development
LIFCO-B,ST,Producer manufacturing,Industrial machinery
LINK,OLL,Technology services,Packaged software
LOGN,SW,Electronic technology,Computer peripherals
LR,PA,Electronic technology,Electronic equipment/Instruments
LSG,OLL,Consumer non-durables,Food: meat/fish/dairy
LXS,XETRA,Process industries,Chemicals: major diversified
MAU,PA,Energy minerals,Integrated oil
MBG,XETRA,Consumer durables,Motor vehicles
MC,PA,Consumer non-durables,Apparel/Footwear
MERY,PA,Finance,Real estate development
MILDEF,ST,Electronic technology,Computer processing hardware
ML,PA,Consumer durables,Automotive aftermarket
MOBA,OLL,Finance,Regional banks
MOWI,OLL,Consumer non-durables,Food: meat/fish/dairy
MPCC,OLL,Transportation,Marine shipping
MRK,XETRA,Health technology,Pharmaceuticals: major
MTG-B,ST,Technology services,Packaged software
MTRS,ST,Producer manufacturing,Industrial machinery
MUV2,XETRA,Finance,Life/Health insurance
MYCR,ST,Producer manufacturing,Industrial machinery
NAS,OLL,Transportation,Airlines
NCAB,ST,Electronic technology,Electronic components
NCC-B,ST,Industrial services,Engineering & construction
NDA-SE,ST,Finance,Major banks
NDX1,XETRA,Producer manufacturing,Electrical products
NEL,OLL,Producer manufacturing,Industrial machinery
NEOBO,ST,Finance,Real estate development
NESN,SW,Consumer non-durables,Food: major diversified
NEWA-B,ST,Consumer non-durables,Apparel/Footwear
NHY,OLL,Non-energy minerals,Aluminum
NIBE-B,ST,Producer manufacturing,Industrial machinery
NOBI,ST,Consumer durables,Home furnishings
NOD,OLL,Electronic technology,Semiconductors
NOKIA-SEK,ST,Electronic technology,Telecommunications equipment
NOLA-B,ST,Electronic technology,Electronic production equipment
NOM,OLL,Non-energy minerals,Other metals/Minerals
NORCO,OLL,Industrial services,Engineering & construction
NORVA,ST,Industrial services,Engineering & construction
NOV,XETRA,Health technology,Pharmaceuticals: major
NOVN,SW,Health technology,Pharmaceuticals: major
NOVNEE,SW,Health technology,Pharmaceuticals: major
NOVO-B,CO,Health technology,Pharmaceuticals: major
NSIS-B,CO,Process industries,Chemicals: specialty
NYF,ST,Finance,Real estate development
ODL,OLL,Industrial services,Contract drilling
OERL,SW,Process industries,Textiles
OR,PA,Consumer non-durables,Household/Personal care
ORA,PA,Communications,Wireless telecommunications
ORK,OLL,Consumer non-durables,Food: specialty/candy
ORSTED,CO,Utilities,Electric utilities
OVZON,ST,Communications,Major telecommunications
P911,XETRA,Consumer durables,Motor vehicles
PAH3,XETRA,Consumer durables,Motor vehicles
PBB,XETRA,Finance,Major banks
PEAB-B,ST,Industrial services,Engineering & construction
PEN,OLL,Energy minerals,Integrated oil
PEXIP,OLL,Technology services,Packaged software
PNDORA,CO,Consumer durables,Other consumer specialties
PSM,XETRA,Consumer services,Movies/Entertainment
PUB,PA,Commercial services,Advertising/Marketing services
PUBLI,OLL,Finance,Real estate development
PUM,XETRA,Consumer non-durables,Apparel/Footwear
QIA,XETRA,Health technology,Medical specialties
R3NK,XETRA,Electronic technology,Aerospace & defense
RATO-B,ST,Finance,Financial conglomerates
REACH,OLL,Energy minerals,Oil & gas production
RHM,XETRA,Electronic technology,Aerospace & defense
RI,PA,Consumer non-durables,Beverages: alcoholic
RNO,PA,Consumer durables,Motor vehicles
ROCK-B,CO,Non-energy minerals,Construction materials
ROG,SW,Health technology,Pharmaceuticals: major
RVRC,ST,Retail trade,Apparel/Footwear retail
RWE,XETRA,Utilities,Electric utilities
RXL,PA,Distribution services,Wholesale distributors
S30,PA,Technology services,Data processing services
S92,XETRA,Producer manufacturing,Electrical products
SAAB-B,ST,Electronic technology,Aerospace & defense
SAF,PA,Electronic technology,Aerospace & defense
SAGA-B,ST,Finance,Real estate development
SAGA-D,ST,Finance,Real estate development
SALM,OLL,Process industries,Agricultural commodities/Milling
SALME,OLL,Process industries,Agricultural commodities/Milling
SAMPO-DKK,CO,Finance,Property/Casualty insurance
SAN,PA,Health technology,Pharmaceuticals: major
SAND,ST,Producer manufacturing,Trucks/Construction/Farm machinery
SAP,XETRA,Technology services,Packaged software
